PROYECTO (GRUPO),ID,NOMBRE DEL SUBPROYECTO,desc_empresa_n,val_empresa_n,desc_empresa_s,val_empresa_s,desc_empresa_u,val_empresa_u,grado_empresa_n,nivel_empresa_n,valor_añadido_empresa_n,error_empresa_n,observación_empresa_n,grado_empresa_s,nivel_empresa_s,valor_añadido_empresa_s,error_empresa_s,observación_empresa_s,grado_empresa_u,nivel_empresa_u,valor_añadido_empresa_u,error_empresa_u,observación_empresa_u
Videoconferencia y Retransmisión (VID),VID2,Jitsi,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: regla de admisión progresiva para salas de invitados,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,regla de admisión progresiva para salas de invitados,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Videoconferencia y Retransmisión (VID),VID3,BigBlueButton,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: aviso de caducidad de grabaciones para responsables de centro,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,aviso de caducidad de grabaciones para responsables de centro,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Videoconferencia y Retransmisión (VID),VID4,PeerTube,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: plantilla de “evento de alta audiencia”,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,plantilla de “evento de alta audiencia”,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
EMPieza (EMP),EMP1,EMPieza,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: dashboard de salud de diferentes componentes,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,dashboard de salud de diferentes componentes,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
LDAP,LDAP,Consultas LDAP,Propuesta técnica con error técnico relevante: LDAP plano mal interpretado,0,Propuesta técnica con valor añadido: panel de “contraseñas temporales activas”,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo general: seguridad e integración.,8,INSUFICIENTE,MUY BAJA,NO,SÍ,LDAP plano mal interpretado,SUFICIENTE,EXCELENTE,VA,NO,panel de “contraseñas temporales activas”,SUFICIENTE,ALTA,NO,NO,Desarrollo general: seguridad e integración.
eXeLearning (EXE),EXE,eXeLearning Online,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: plantilla “DUA ligero” y reproductor en la nube Nextcloud de EM,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,plantilla “DUA ligero” y reproductor en la nube Nextcloud de EM,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Formularios (FOR),FOR1,Formularios,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: informe de salud de Formularios,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,informe de salud de Formularios,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Buscador de AV y cursos,BUS1,Buscador de aulas y cursos,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: modo de “búsquedas frecuentes sin resultados”,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo general: optimización búsquedas.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,modo de “búsquedas frecuentes sin resultados”,SUFICIENTE,ALTA,NO,NO,Desarrollo general: optimización búsquedas.
Animalandia (ANI),ANI1,Animalandia,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: crear un “mapa de deuda técnica”,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,crear un “mapa de deuda técnica”,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Sincronización de usuarios (SYN),SYN,Sincronización de usuarios,Propuesta técnica con error técnico relevante: modelo de datos incorrecto,0,Propuesta técnica con valor añadido: evolución hacia API de Raíces,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,MUY BAJA,NO,SÍ,modelo de datos incorrecto,SUFICIENTE,EXCELENTE,VA,NO,evolución hacia API de Raíces,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Portal CAU (CAU),CAU,Portal CAU,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: panel de verificación postactualización,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,panel de verificación postactualización,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
EducaSAAC (EDU),EDU,,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,"Propuesta técnica con valor añadido: Biblioteca interna ligera de seguridad para EducaSAAC,",10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,"Biblioteca interna ligera de seguridad para EducaSAAC,",INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Buzón anónimo (BAN),BAN,Buzón anónimo,Propuesta técnica con error técnico relevante: tecnología Java incorrecta,0,Propuesta técnica con valor añadido: panel de comprobación previa,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,MUY BAJA,NO,SÍ,tecnología Java incorrecta,SUFICIENTE,EXCELENTE,VA,NO,panel de comprobación previa,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
DTIC,DTIC,,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: informe previo en HTML y CSV,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,informe previo en HTML y CSV,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Seguimientos (SEG),SEG,Seguimientos,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: panel de salud de edición,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,panel de salud de edición,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Albor (ALB),ALB,Albor,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: consola de revisión de respuestas sin datos personales,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo general: caso IA detallado.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,consola de revisión de respuestas sin datos personales,SUFICIENTE,ALTA,NO,NO,Desarrollo general: caso IA detallado.
Avisos (AVI),AVI,Avisos,Propuesta técnica con error técnico relevante: tecnología incorrecta,0,Propuesta técnica con valor añadido: validación de seguridad previa,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,MUY BAJA,NO,SÍ,tecnología incorrecta,SUFICIENTE,EXCELENTE,VA,NO,validación de seguridad previa,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Foros (FOROS),FOR,Foros,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: autencitación contra SSO,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,autencitación contra SSO,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Boletines (BOL),BOL,Boletines,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: validación previa al envío,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,validación previa al envío,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Ayuda (AYU),AYU,Ayuda,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Portal (POR),POR,Portal,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: endpoint de validación previa,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,endpoint de validación previa,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Web estática (WES),WES,Web estática,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: matriz de páginas críticas,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,matriz de páginas críticas,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Framework de interfaz (IFZ),IFZ,Framework de interfaz,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: catálogo vivo de componentes,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo general: framework UI.,8,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,catálogo vivo de componentes,SUFICIENTE,ALTA,NO,NO,Desarrollo general: framework UI.
Entornos MAX (MAX),MAX,Entornos MAX,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Gestión de títulos (GES),GES,Gestión de títulos,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: validador previo de ficheros,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,validador previo de ficheros,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Medidas de uso web (USO),USO,Medidas de uso web,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: instalación de rybbit contra el SSO y script de generación de entorno para los centros solicitados,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,instalación de rybbit contra el SSO y script de generación de entorno para los centros solicitados,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Mamood (MAM),MAM,Mamood,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: orquestador ligero de scripts accesible por VPN,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,orquestador ligero de scripts accesible por VPN,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
EMLab (EML),EML,EMLab,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
AbiesWeb (ABI),ABI,AbiesWeb,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Wekan (WEK),WEK1,SSO,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo insuficiente y valor añadido: Tratamiento agregado; Docker Compose con backup y rollback probado.,5,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,INSUFICIENTE,MEDIA,VA,NO,Tratamiento agregado; Docker Compose con backup y rollback probado.,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Wekan (WEK),WEK2,Código,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo insuficiente y valor añadido: Tratamiento agregado; Docker Compose con backup y rollback probado.,5,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,INSUFICIENTE,MEDIA,VA,NO,Tratamiento agregado; Docker Compose con backup y rollback probado.,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Wekan (WEK),WEK3,Configuración,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo insuficiente y valor añadido: Tratamiento agregado; Docker Compose con backup y rollback probado.,5,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,INSUFICIENTE,MEDIA,VA,NO,Tratamiento agregado; Docker Compose con backup y rollback probado.,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Wekan (WEK),WEK4,Interfaz,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo insuficiente y valor añadido: Tratamiento agregado; Docker Compose con backup y rollback probado.,5,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,INSUFICIENTE,MEDIA,VA,NO,Tratamiento agregado; Docker Compose con backup y rollback probado.,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
